timestamp,x,xdot,theta,thetadot,action
1665342818.775556,0.0,0.0026951236152366964,-0.11384270353862125,-0.05967902695075971,-2.3357245606386137
1665342818.80816,8.983745384122322e-05,-0.07049727880231897,-0.1158320044369799,-0.006263604464643441,-2.3440079581180164
1665342818.842305,-0.0022600718395694094,-0.14390946875663368,-0.11604079125246801,0.04648592746670369,-2.3186327741294313
1665342818.876751,-0.0070570541314571985,-0.21649254748523894,-0.11449126033691122,0.09789587813711063,-2.260405619912414
1665342818.910457,-0.014273472380965163,-0.28722314080285044,-0.11122806439900754,0.1473189275347866,-2.1705460388767017
1665342818.944155,-0.02384757707439351,-0.35511596584153415,-0.10631743348118132,0.1941394116262051,-2.0506678362870785
1665342818.97841,-0.035684775935777985,-0.4192358820746936,-0.09984611976030781,0.2377787630775829,-1.9027567847188704
1665342819.012109,-0.04965930533826777,-0.4787093401583855,-0.09192016099105504,0.27770129133034044,-1.72914438320741
1665342819.04677,-0.06561628334354729,-0.532735120010297,-0.0826634512800437,0.3134203631955908,-1.532477340080146
1665342819.080355,-0.08337412067722386,-0.5805942258857346,-0.07221610584019067,0.3445049101805514,-1.3156825347275942
1665342819.114208,-0.10272726154008167,-0.6216587852161585,-0.06073260883417229,0.37058605743555456,-1.0819273855827796
1665342819.149026,-0.12344922104728695,-0.6553997837580114,-0.048379740252987136,0.39136355733114175,-0.8345757933796479
1665342819.181488,-0.14529588050588732,-0.6813934657224225,-0.03533428834194908,0.4066116325125031,-0.5771401142961489
1665342819.214449,-0.16800899602996808,-0.699326236583974,-0.021780567258198977,0.416183799828499,-0.3132299143256567
1665342819.248307,-0.1913198705827672,-0.7089979293524032,-0.007907773930582344,0.42001626382733853,-0.0464985288814129
1665342819.282137,-0.21495313489451398,-0.7103233316972611,0.0060927681969956075,0.4181295363417454,0.21941133332522217
1665342819.316804,-0.2386305792844227,-0.7033319191480553,0.02003041940838712,0.4106280501134564,0.4809215728945709
1665342819.350529,-0.26207497658935786,-0.6881657948047675,0.03371802107883567,0.3976976763384091,0.7345708711790132
1665342819.384361,-0.28501383641618344,-0.6650758936621479,0.04697461029011597,0.379601210907827,0.9770637304034103
1665342819.418671,-0.3071830328715884,-0.6344165644575049,0.05962798398704354,0.35667204258167307,1.2053152365494983
1665342819.452528,-0.32833025168683855,-0.5966386889519564,0.0715170520730993,0.3293063401253471,1.416490649058327
1665342819.486517,-0.3482182079852371,-0.5522815338869305,0.08249393007727754,0.297954180308903,1.6080392176957563
1665342819.520462,-0.3666275924481348,-0.5019635522476991,0.0924257360875743,0.2631100763633585,1.7777219362164676
1665342819.554386,-0.3833597108563914,-0.44637235744818554,0.10119607196635291,0.22530335565467358,1.9236332323190806
1665342819.588447,-0.3982387894379976,-0.386254087878982,0.10870618382150869,0.1850887811415408,2.044216836489021
